,B01001_001E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001M,B01001_003M,B01001_004M,B01001_005M,B01001_006M,B01001_027M,B01001_028M,B01001_029M,B01001_030M,state,county,tract
599,3780,165,41,91,7,131,70,43,55,298,70,29,40,11,54,39,35,33,17,031,832600
600,2322,43,33,0,9,70,6,7,14,314,38,53,11,15,32,17,18,22,17,031,832900
601,4138,108,33,61,0,125,107,32,41,386,115,62,66,11,146,54,60,46,17,031,833000
602,7250,277,210,67,10,353,174,49,87,589,121,94,67,40,159,123,44,73,17,031,833100
603,2699,0,7,29,6,112,23,7,14,306,11,11,26,9,60,24,12,15,17,031,833300
604,2530,92,63,139,93,119,85,162,64,344,73,43,71,49,57,48,60,45,17,031,833900
605,2926,105,53,134,20,145,12,86,76,466,78,47,81,22,93,19,74,64,17,031,834000
606,4249,197,145,159,96,209,160,294,71,759,165,113,125,104,248,141,175,97,17,031,834200
607,6004,191,43,86,210,253,166,114,93,763,107,68,90,101,204,109,79,73,17,031,834300
608,4390,101,234,197,112,147,164,123,116,599,112,173,147,81,141,90,81,73,17,031,834400
609,1376,67,130,61,37,56,40,65,69,250,49,64,32,25,42,30,40,41,17,031,834500
610,1975,40,61,22,6,93,68,113,28,465,42,43,31,11,98,67,81,30,17,031,834600
611,1426,39,45,94,31,97,41,47,20,349,50,38,86,33,55,47,34,24,17,031,834700
612,1546,64,46,0,43,48,25,38,23,215,65,36,11,41,41,28,42,20,17,031,834800
613,1615,30,64,62,29,22,74,34,58,222,34,57,31,22,30,57,32,44,17,031,834900
614,5622,158,249,297,109,231,149,154,168,690,95,114,147,68,118,89,81,82,17,031,835000
615,5505,134,140,273,174,211,400,181,135,511,87,107,183,138,128,133,105,79,17,031,835100
616,2020,36,88,58,34,82,37,48,27,248,33,49,33,31,39,27,43,24,17,031,835200
617,1479,16,14,96,0,33,33,7,8,214,25,16,66,11,48,30,11,10,17,031,835500
618,841,23,33,10,4,19,2,30,12,111,23,22,16,10,28,8,22,16,17,031,835600
619,416,0,34,0,46,19,64,48,16,315,11,37,11,75,30,84,80,24,17,031,835700
620,1858,43,59,143,39,144,118,56,33,370,49,44,115,35,88,65,43,34,17,031,835800
621,1604,9,14,9,0,0,0,0,24,319,12,14,10,11,11,11,11,28,17,031,836200
622,3190,57,120,155,65,125,158,111,32,467,67,72,108,48,70,114,72,35,17,031,835900
623,2785,155,267,119,24,122,81,41,45,356,72,133,59,25,77,61,30,38,17,031,836000
624,2039,82,153,81,44,110,94,58,45,352,64,89,72,40,83,46,41,41,17,031,836100
625,2031,87,40,26,34,48,52,44,41,257,47,31,25,28,55,30,40,29,17,031,340400
626,1503,39,33,110,102,34,79,110,77,197,32,40,46,63,38,62,48,52,17,031,360200
627,7338,256,218,214,207,392,339,303,112,751,109,106,73,99,137,117,106,69,17,031,190800
628,3934,98,213,148,94,142,132,236,91,442,51,87,61,42,64,61,76,54,17,031,191200
629,3684,195,143,192,72,83,99,19,11,427,79,74,97,54,58,54,19,12,17,031,210100
630,2643,107,9,9,8,63,27,18,36,350,94,13,13,14,48,24,29,37,17,031,220400
631,1500,64,18,32,18,33,34,58,19,218,41,18,26,21,21,27,40,15,17,031,240800
632,2274,25,20,19,39,28,40,65,0,209,25,23,26,45,27,39,51,11,17,031,243000
633,2427,125,43,95,73,101,82,90,81,462,79,39,68,61,86,74,65,58,17,031,250800
634,1329,22,45,41,38,56,28,43,26,228,21,38,38,27,56,26,33,39,17,031,251700
635,1573,75,46,21,22,43,14,31,0,146,36,43,22,17,26,17,30,11,17,031,222600
636,1425,131,58,26,28,54,43,49,31,187,49,58,29,23,43,29,32,32,17,031,230800
637,1752,61,42,104,14,33,51,36,40,165,43,33,79,15,31,33,29,30,17,031,240700
638,2096,79,55,83,24,46,73,57,44,252,39,35,33,25,37,40,42,27,17,031,241000
639,3826,140,87,68,87,94,88,63,49,376,77,50,58,59,59,68,41,41,17,031,241100
640,5254,150,81,20,83,48,100,114,0,707,110,66,37,94,52,103,111,15,17,031,242000
641,3878,156,64,10,26,103,36,20,0,372,59,63,16,41,52,24,23,11,17,031,242100
642,4120,51,100,47,75,169,146,109,137,363,49,64,37,58,107,89,71,71,17,031,250600
643,4416,93,250,101,108,240,172,156,135,505,57,142,71,73,113,71,90,74,17,031,251100
644,1488,45,12,46,21,19,13,26,0,235,25,13,32,35,20,24,36,11,17,031,836300
645,3737,149,137,176,94,114,149,180,57,297,72,77,69,74,104,87,97,46,17,031,836400
646,1610,59,61,126,110,84,41,36,16,219,51,54,56,76,59,45,37,20,17,031,836500
647,2291,27,52,49,108,39,66,23,101,462,33,44,49,80,41,54,27,70,17,031,836600
648,2422,159,163,121,57,65,68,100,32,374,96,90,61,56,48,57,64,32,17,031,836700
649,2164,82,114,103,26,107,102,71,65,461,71,112,99,42,94,85,63,57,17,031,836800
650,1251,53,55,69,79,86,49,45,53,249,32,39,47,64,44,45,36,35,17,031,836900
651,2460,68,21,72,41,72,109,130,72,303,47,26,54,39,67,58,65,48,17,031,837400
652,1950,52,128,104,77,114,117,58,56,315,35,60,50,62,66,67,45,40,17,031,837000
653,1596,46,33,23,5,33,5,96,38,235,38,36,27,8,33,10,55,34,17,031,837100
654,2607,111,202,135,38,174,132,89,53,383,67,79,82,29,90,73,52,41,17,031,837300
655,2662,139,102,69,100,53,39,52,65,377,101,82,40,75,53,27,43,34,17,031,837800
656,2577,128,15,75,40,166,38,39,21,387,85,25,65,45,158,48,40,24,17,031,838000
657,1760,22,0,26,0,29,17,16,8,183,27,11,26,11,26,20,18,12,17,031,838100
658,1976,0,5,58,217,0,19,21,11,286,11,8,46,145,11,21,16,13,17,031,838200
659,1425,73,30,0,15,37,20,20,29,172,38,32,11,25,36,17,23,24,17,031,838300
660,1507,112,60,9,51,108,83,40,21,254,54,42,16,48,67,55,40,22,17,031,838600
661,4311,237,247,211,55,104,214,139,60,542,126,113,97,54,69,98,81,60,17,031,838700
662,3173,81,162,141,100,88,185,223,64,380,71,93,83,69,68,103,120,47,17,031,838800
663,8789,174,60,28,22,95,72,187,0,751,126,76,45,36,72,87,133,15,17,031,839000
664,7352,52,43,66,9,51,21,0,54,548,54,47,59,17,55,35,15,72,17,031,839100
665,2452,43,22,0,21,97,37,55,45,338,43,35,11,23,70,43,64,44,17,031,839200
666,1510,0,24,22,0,38,0,0,0,194,11,24,25,11,33,11,11,11,17,031,839500
667,1367,0,4,54,3,57,0,0,39,192,11,7,68,7,63,11,11,39,17,031,839600
668,4510,175,133,132,52,122,114,132,81,506,90,74,83,45,73,69,74,61,17,031,839700
669,2831,98,34,81,81,58,24,70,29,285,58,26,57,53,40,21,44,28,17,031,839800
670,4419,149,127,56,10,162,142,144,69,392,73,50,48,16,88,59,73,60,17,031,839900
671,2881,144,94,102,33,103,93,47,35,301,88,57,67,28,64,65,30,45,17,031,840000
672,3176,48,63,117,105,74,25,104,17,337,43,46,70,67,53,28,62,20,17,031,840100
673,2488,46,80,84,35,36,62,98,23,270,34,47,48,24,31,36,35,23,17,031,840200
674,3872,144,103,122,80,92,76,162,85,370,97,57,84,67,86,53,85,55,17,031,840300
675,3135,98,45,56,30,67,212,75,46,407,79,48,52,28,46,151,57,32,17,031,840400
676,3697,131,146,294,51,158,156,149,113,649,107,76,174,59,81,88,79,76,17,031,840700
677,3011,120,187,133,89,108,124,173,85,390,98,77,69,47,96,53,62,64,17,031,840800
678,979,24,19,0,7,20,0,34,0,81,20,20,11,9,16,11,37,11,17,031,841000
679,7072,260,185,196,112,121,13,37,108,663,178,108,98,98,96,21,47,76,17,031,841100
680,4839,81,94,181,66,180,213,244,100,559,66,75,104,57,76,106,98,82,17,031,841200
681,3960,93,113,181,12,128,73,95,123,470,66,71,80,18,87,61,67,90,17,031,841300
682,1135,27,63,42,37,31,32,39,40,201,32,42,33,25,31,30,28,29,17,031,841400
683,2847,44,125,164,80,102,102,128,124,339,42,83,98,57,69,66,60,69,17,031,841500
684,655,18,20,57,29,10,26,27,29,156,20,31,43,26,15,24,19,24,17,031,841600
685,1825,35,56,81,23,114,49,38,55,433,39,44,54,26,57,62,52,53,17,031,841700
686,2435,84,127,113,89,113,76,68,20,306,57,84,44,52,56,42,42,17,17,031,841800
687,6540,108,39,23,9,113,152,52,8,557,74,29,24,17,57,109,54,15,17,031,841900
688,3134,32,33,19,32,0,0,4,21,298,26,16,20,27,11,11,6,24,17,031,842000
689,7489,530,479,311,256,511,388,273,231,1167,334,302,195,160,255,246,142,108,17,031,842100
690,3154,32,9,0,0,79,35,83,11,350,51,13,11,11,73,41,118,19,17,031,842200
691,3358,102,43,51,11,114,71,13,10,405,51,36,49,16,77,69,22,18,17,031,842300
692,7035,491,427,378,184,345,331,160,104,1037,269,178,224,116,184,186,120,91,17,031,842800
693,3115,127,73,82,29,79,45,140,121,474,91,50,73,33,68,45,62,82,17,031,842400
694,1973,127,171,150,74,161,99,66,36,225,83,83,89,50,77,66,57,28,17,031,842500
695,4125,149,144,187,63,243,54,30,43,403,70,72,85,44,139,39,31,47,17,031,842600
696,2479,86,147,37,49,138,65,67,53,302,93,91,41,71,92,59,63,59,17,031,842900
697,2533,137,158,196,101,75,61,132,31,296,75,102,95,66,44,44,52,26,17,031,843000
698,1692,106,68,101,77,23,82,63,25,395,95,57,61,69,37,72,51,32,17,031,843100
699,5556,41,176,223,51,179,247,110,30,822,61,180,139,64,140,128,106,48,17,031,252000
700,1154,16,47,25,32,54,37,25,52,204,19,34,28,25,37,36,19,33,17,031,260100
701,1816,145,45,71,61,83,77,77,72,320,94,39,49,49,67,48,43,67,17,031,260700
702,1316,60,45,137,49,104,147,35,21,283,35,30,70,36,55,58,27,21,17,031,271300
703,3831,73,0,0,0,49,0,0,24,348,74,11,11,11,49,11,11,35,17,031,081700
704,5563,156,136,119,87,166,105,210,92,574,90,93,74,58,96,73,94,63,17,031,100100
705,5696,144,77,257,100,231,175,109,169,425,119,68,146,94,148,109,71,83,17,031,100500
706,5228,168,219,297,137,176,154,110,75,516,91,87,109,77,119,77,69,52,17,031,130100
707,6429,149,149,73,48,185,118,320,82,1061,73,73,55,50,85,85,121,52,17,031,140200
708,4264,220,189,239,39,142,115,171,65,338,120,115,121,51,80,84,93,57,17,031,140500
709,3764,133,56,37,21,212,12,30,25,303,61,29,38,22,100,19,32,27,17,031,160300
710,4909,163,84,88,42,95,129,142,51,623,79,67,66,40,71,84,78,45,17,031,160800
711,7039,183,319,308,134,297,188,171,160,804,110,128,185,95,155,131,113,146,17,031,010201
712,2852,120,41,59,27,125,81,64,20,291,63,34,46,35,60,60,48,22,17,031,010202
713,3766,177,241,19,67,137,130,96,8,355,68,137,22,58,71,62,72,12,17,031,010701
714,4147,19,32,2,36,209,96,18,17,368,31,49,4,39,156,87,29,27,17,031,010501
715,2802,45,33,47,18,36,30,67,0,331,38,37,45,18,40,33,49,11,17,031,010502
716,1713,22,42,0,0,33,0,0,0,280,36,68,11,11,29,11,11,11,17,031,010503
717,5096,106,239,206,79,135,231,259,142,553,53,108,93,42,93,107,110,112,17,031,010702
718,5472,369,365,191,189,266,134,143,41,456,124,135,95,82,119,57,73,26,17,031,020301
719,5348,216,178,168,87,230,194,166,120,481,78,84,85,65,141,75,61,50,17,031,020302
720,6131,141,202,85,94,352,264,231,263,643,94,111,60,80,163,207,98,153,17,031,020601
721,4734,324,185,268,17,233,199,74,99,475,155,100,135,14,133,92,71,71,17,031,020602
722,1748,60,32,56,11,79,42,82,28,162,40,19,28,11,51,23,35,20,17,031,020701
723,7674,352,512,236,78,303,323,242,82,849,202,194,154,69,153,95,137,85,17,031,020702
724,6112,175,150,251,75,75,136,208,83,639,136,97,113,57,62,112,130,61,17,031,020801
725,7952,160,372,297,183,300,158,264,133,880,110,134,120,99,125,93,115,79,17,031,020802
726,5966,238,164,231,116,274,223,216,107,742,140,75,86,83,127,123,115,68,17,031,020901
727,4680,144,194,62,94,139,72,123,58,489,78,89,44,57,79,56,85,42,17,031,020902
728,3768,202,134,0,58,65,122,27,24,514,113,99,11,88,46,69,43,38,17,031,030101
729,2703,45,15,0,0,20,9,13,7,263,49,20,11,11,24,15,20,11,17,031,030102
730,2252,70,0,0,6,21,0,34,12,312,57,11,11,12,32,11,40,19,17,031,030103
731,3569,22,0,27,21,0,0,0,45,385,39,11,49,28,11,11,11,44,17,031,030104
732,3956,119,66,72,31,48,104,82,17,451,89,60,78,32,70,120,86,29,17,031,030601
733,2357,102,128,60,55,63,20,66,6,276,44,59,54,37,39,19,52,10,17,031,843200
734,1972,109,84,59,9,100,0,31,9,384,61,55,51,6,61,11,38,13,17,031,843300
735,1195,46,53,37,38,0,50,28,14,201,35,42,35,38,11,39,29,15,17,031,843400
736,10317,77,53,31,61,84,40,37,0,1306,37,39,29,31,58,35,28,17,17,031,843500
737,2918,87,88,79,53,220,81,170,55,302,61,64,81,51,185,66,95,51,17,031,843600
738,2617,135,74,113,16,92,108,149,46,244,54,27,68,18,40,59,68,30,17,031,843700
739,1482,0,41,35,29,17,105,63,85,221,11,29,28,29,13,58,42,46,17,031,843800
740,3521,42,53,113,47,43,61,61,42,446,68,83,90,59,39,64,62,52,17,031,843900
741,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,17,031,980000
742,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,17,031,980100
743,2258,20,0,68,10,69,84,24,10,226,21,11,53,15,45,67,27,15,17,031,030603
744,3344,138,23,33,16,108,0,0,15,267,79,27,33,22,78,11,11,17,17,031,030604
745,1712,55,9,9,4,27,22,32,4,172,37,15,11,6,35,25,34,7,17,031,030701
746,2252,114,4,0,0,109,9,0,0,255,142,7,11,11,70,14,11,11,17,031,030702
747,2909,38,25,48,42,0,17,7,31,289,35,40,53,45,11,17,19,39,17,031,030703
748,2928,119,0,40,0,23,57,0,0,348,107,11,35,11,31,79,11,11,17,031,030706
749,4587,140,177,108,34,166,165,46,118,431,92,104,74,31,70,68,35,70,17,031,031501
750,4651,71,116,122,63,152,71,114,50,380,69,74,97,73,101,57,113,54,17,031,031502
751,6891,388,170,167,60,223,103,32,50,544,176,92,110,52,104,67,36,47,17,031,040201
752,7265,376,80,87,253,221,48,167,59,751,316,83,65,139,241,66,124,67,17,031,040202
753,3347,145,21,23,32,210,17,0,16,482,99,32,37,38,154,27,11,19,17,031,040401
754,5269,240,323,208,0,127,71,108,12,456,100,143,168,15,78,52,64,19,17,031,040402
755,3597,26,52,82,0,21,67,30,30,338,30,49,69,11,39,67,34,34,17,031,061901
756,4653,54,36,64,0,21,0,58,18,388,54,41,67,11,34,11,53,22,17,031,061902
757,2768,32,28,0,0,47,0,5,0,195,35,43,11,11,45,11,12,11,17,031,063301
758,3781,54,35,24,0,48,0,0,0,318,48,36,49,11,52,11,11,11,17,031,063302
759,1223,8,1,6,0,9,4,0,0,98,12,7,8,11,11,9,11,11,17,031,063303
760,3878,129,23,32,0,55,121,17,21,350,160,36,53,11,52,122,28,41,17,031,070101
761,2920,31,8,21,20,33,43,23,0,242,30,12,23,23,37,50,23,11,17,031,070102
762,1621,14,0,0,0,45,16,0,0,151,18,11,11,11,14,18,11,11,17,031,070103
763,3141,0,16,0,0,18,0,0,0,318,11,26,11,11,28,11,11,11,17,031,080201
764,3957,145,80,99,71,99,104,104,46,355,84,55,54,59,53,69,57,32,17,031,150501
765,4378,204,231,115,34,195,145,86,62,544,112,111,51,33,107,74,97,73,17,031,150502
766,2714,81,118,93,23,38,99,91,71,296,54,65,55,21,32,58,41,42,17,031,151001
767,4770,230,208,173,32,147,151,196,49,409,84,105,80,40,62,55,90,35,17,031,151002
768,3870,233,109,36,19,166,181,159,142,517,100,71,29,21,93,67,99,66,17,031,160501
769,3782,124,138,127,59,102,189,88,68,406,80,79,99,49,47,73,73,61,17,031,160502
770,3529,177,17,60,73,133,147,154,10,324,83,20,47,61,84,66,98,15,17,031,160601
771,3681,145,87,110,8,98,50,86,87,301,87,46,57,14,54,35,53,43,17,031,160602
772,4193,165,92,225,50,139,137,94,116,327,81,56,98,53,59,67,54,105,17,031,190401
773,5572,113,141,172,160,77,274,391,119,464,68,69,85,74,53,116,164,72,17,031,190402
774,5145,152,209,124,95,309,227,109,85,554,107,66,80,68,134,171,50,57,17,031,190601
775,5608,130,344,137,125,70,127,193,143,695,119,142,93,94,58,67,95,83,17,031,190602
776,2924,48,149,163,71,87,194,91,43,301,37,64,73,34,48,57,37,32,17,031,190701
777,4841,243,355,72,31,216,255,97,219,479,140,148,57,31,119,94,55,110,17,031,190702
778,5658,190,211,381,90,160,237,229,151,631,117,95,162,70,95,135,120,91,17,031,191301
779,5333,170,327,241,238,152,259,153,159,663,98,143,133,96,98,108,70,95,17,031,191302
780,3746,114,177,208,30,114,194,95,66,408,76,78,69,35,52,82,62,45,17,031,200401
781,4380,254,121,107,18,215,212,120,103,705,150,84,66,21,100,110,73,78,17,031,200402
782,3273,152,103,104,9,128,29,78,20,404,70,63,72,15,81,26,80,31,17,031,210501
783,4685,157,147,122,115,130,270,162,105,524,83,87,70,70,76,110,88,78,17,031,210502
784,2761,65,38,77,14,13,84,162,28,405,52,33,69,16,20,48,92,32,17,031,210601
785,4200,160,149,63,0,105,170,110,63,565,93,92,50,11,84,124,56,43,17,031,210602
786,1763,75,52,29,34,88,54,59,27,212,51,39,24,27,50,35,43,20,17,031,220601
787,5058,162,13,88,74,168,83,68,101,530,103,25,86,56,113,70,66,84,17,031,220602
788,3230,28,85,204,99,75,91,139,10,395,26,56,97,52,51,54,71,14,17,031,220701
789,3817,58,218,140,85,77,110,90,156,438,46,108,87,53,46,65,69,108,17,031,220702
790,3073,157,149,136,18,62,118,53,57,403,86,66,89,24,45,55,34,49,17,031,220901
791,2927,96,57,118,42,90,91,85,82,344,47,35,48,21,72,50,40,41,17,031,220902
792,1284,25,52,32,0,68,18,41,24,264,35,59,38,11,71,27,43,29,17,031,252101
793,7295,253,483,336,89,222,99,313,163,1409,202,242,246,73,267,101,177,145,17,031,252102
794,2922,55,81,73,54,48,36,73,20,306,50,55,52,37,34,33,48,22,17,031,252201
795,4653,204,230,233,80,189,135,126,95,751,98,107,105,57,103,86,101,88,17,031,252202
796,3943,196,269,123,13,155,182,207,138,546,99,128,86,23,95,110,108,134,17,031,301701
797,4387,219,202,236,168,226,154,147,55,607,108,88,126,80,117,73,102,37,17,031,301702
798,3625,345,103,98,139,192,67,187,67,495,213,69,71,82,131,63,94,53,17,031,301801
799,3509,74,241,175,59,108,132,115,105,378,54,108,86,42,62,66,54,66,17,031,301802
800,5011,229,155,189,170,190,261,151,56,613,128,90,100,102,90,117,92,52,17,031,301803
